Occurred On (NT),Cleared On (NT),MO Name,Name
01/01/2025 06:34,01/01/2025 06:39,"NodeB Name=DIFCHT0254, LogicRNCID=32",NodeB Unavailable
01/01/2025 06:34,01/01/2025 06:41,"NodeB Name=DIFCHT1811, LogicRNCID=32",NodeB Unavailable
01/01/2025 07:39,01/01/2025 08:12,"NodeB Name=MEXTEO1238, LogicRNCID=194",NodeB Unavailable
01/01/2025 06:00,01/01/2025 09:21,"NodeB Name=DIFGAM0447, LogicRNCID=190",NodeB Unavailable
01/01/2025 08:20,01/01/2025 10:06,"NodeB Name=MCR93-0007A_0220_Parque_Alameda, LogicRNCID=32",NodeB Unavailable
01/01/2025 10:44,01/01/2025 11:10,"NodeB Name=DIFGAM0447, LogicRNCID=190",NodeB Unavailable
01/01/2025 02:36,01/01/2025 11:24,"NodeB Name=MEXHUA2121, LogicRNCID=194",NodeB Unavailable
01/01/2025 12:21,01/01/2025 12:28,"NodeB Name=DIFALO0019, LogicRNCID=191",NodeB Unavailable
01/01/2025 12:22,01/01/2025 12:28,"NodeB Name=iUDIFALO6343Z, LogicRNCID=191",NodeB Unavailable
01/01/2025 02:39,01/01/2025 13:33,"NodeB Name=MEXHUA1911, LogicRNCID=194",NodeB Unavailable
01/01/2025 13:59,01/01/2025 14:34,"NodeB Name=MUMEXAXA4077, LogicRNCID=194",NodeB Unavailable
01/01/2025 18:27,01/01/2025 18:31,"NodeB Name=DIFALO0046, LogicRNCID=191",NodeB Unavailable
01/01/2025 21:22,01/01/2025 21:27,"NodeB Name=MEXTEX1239, LogicRNCID=194",NodeB Unavailable
01/01/2025 21:52,01/01/2025 21:58,"NodeB Name=DIFMGH0764, LogicRNCID=191",NodeB Unavailable
02/01/2025 03:28,02/01/2025 03:46,"NodeB Name=MEXNPL0492, LogicRNCID=191",NodeB Unavailable
02/01/2025 04:09,02/01/2025 04:38,"NodeB Name=MEXTEO1238, LogicRNCID=194",NodeB Unavailable
02/01/2025 08:52,02/01/2025 08:54,"NodeB Name=MCR93-0001A_0095_Plaza_Torres_Lindavista, LogicRNCID=190",NodeB Unavailable
02/01/2025 07:56,02/01/2025 09:15,"NodeB Name=MEXHUA1911, LogicRNCID=194",NodeB Unavailable
02/01/2025 09:22,02/01/2025 09:24,"NodeB Name=MEXNPL0498, LogicRNCID=191",NodeB Unavailable
